ID,SITENAME,MG,PH,K,NITRATE,SULPHATE,EC,CA,NA,CARBONATE,BICARBONATE,CHLORIDE,FLUORIDE,SAR,RSC,YEAR
44.0,Vellore1,19.6,7.6,210.0,10.0,340.0,2600.0,146.0,390.0,.0,354.0,369.0,1.7,8.0,-3.1,2006.0
45.0,Ranipet1,151.0,8.0,2.0,3.0,492.0,6770.0,208.0,1300.0,.0,605.0,1775.0,.4,16.8,-12.9,2006.0
46.0,Ranipet1,136.4,7.4,95.0,20.0,500.0,7920.0,208.0,1480.0,.0,525.0,2340.0,2.1,19.6,-13.0,2006.0
47.0,Pernampet,18.3,7.6,2.0,4.0,40.0,1090.0,46.0,170.0,.0,397.0,124.0,1.2,5.4,2.7,2006.0
48.0,Veppaneri,69.4,7.5,25.0,2.0,80.0,1770.0,64.0,195.0,.0,515.0,238.0,1.3,4.0,-.5,2006.0
49.0,Lalpet,22.5,7.6,1.0,.0,42.0,1071.0,80.0,124.0,.0,456.0,128.0,.3,3.2,1.6,2006.0
50.0,Lalpet,9.9,7.6,65.0,10.0,120.0,1720.0,110.0,260.0,.0,445.0,230.0,.9,6.4,1.0,2006.0
51.0,Banavaram,12.3,7.3,2.0,10.0,42.0,960.0,128.0,62.0,.0,222.0,199.0,.4,1.4,-3.8,2006.0
52.0,Banavaram,36.7,7.5,175.0,2.0,130.0,1845.0,146.0,182.0,.0,189.0,337.0,1.3,3.5,-7.2,2006.0
53.0,Sholingar1,30.5,7.8,3.0,3.0,55.0,935.0,72.0,95.0,.0,317.0,128.0,.9,2.4,-.9,2006.0
54.0,Perambattu,66.0,8.0,11.0,.0,10.0,1065.0,53.0,80.0,.0,539.0,74.0,1.3,1.7,.8,2005.0
55.0,Perampattu-EW,66.9,8.7,70.8,18.1,169.6,970.0,20.0,271.0,54.0,458.0,35.0,1.0,4.6,2.8,2005.0
56.0,Sundarampalli-EW,94.0,7.9,70.8,18.1,169.6,2010.0,60.0,271.0,4.0,207.0,430.0,1.0,4.6,-7.3,2005.0
57.0,Alankuppam,210.0,7.3,183.0,4.0,100.0,5950.0,268.0,700.0,.0,644.0,1667.0,1.4,7.8,-20.1,2005.0
58.0,Vengalapuram,64.7,8.1,70.8,3.0,169.6,3150.0,184.0,345.0,.0,294.0,837.0,1.0,5.6,-9.7,2005.0
59.0,Vengalapuram,73.0,8.0,70.8,4.3,169.6,1469.0,88.0,92.0,4.0,506.0,142.0,1.0,1.8,-2.1,2005.0
60.0,Vengalapuram,119.0,8.3,70.8,8.0,169.6,2375.0,136.0,138.0,12.0,159.0,518.0,1.0,2.1,-13.6,2005.0
61.0,Vengalapuram,83.9,7.9,70.8,5.1,169.6,1295.0,40.1,92.0,4.0,317.3,177.3,1.0,1.9,-3.7,2005.0
62.0,Vengalapuram,35.0,8.5,70.8,6.0,169.6,1550.0,136.0,110.0,39.0,211.0,234.0,1.0,2.2,-4.9,2005.0
63.0,Vengalapuram,85.0,8.0,70.8,3.9,.0,1520.0,54.0,133.0,.0,366.0,245.0,1.0,2.6,-3.7,2005.0
64.0,Vengalapuram,124.1,7.9,286.0,7.0,48.0,2300.0,120.0,152.0,.0,275.0,454.0,1.3,2.3,-11.7,2005.0
65.0,Vengalapuram,60.0,8.8,70.8,3.9,169.6,1170.0,44.0,92.0,18.0,281.0,156.0,1.0,2.1,-1.9,2005.0
66.0,Vengalapuram,73.0,8.2,70.8,18.1,169.6,1260.0,49.0,271.0,.0,333.0,183.0,1.0,4.6,-3.0,2005.0
67.0,Vengalapuram,356.0,7.8,320.0,10.0,400.0,5410.0,168.0,450.0,.0,456.0,1312.0,1.6,4.5,-30.2,2005.0
68.0,Vengalapuram,69.0,8.4,70.8,18.1,169.6,1133.0,32.0,271.0,18.0,250.0,174.0,1.0,4.6,-2.6,2005.0
69.0,Jayapuram-EW,36.5,8.3,70.8,18.1,169.6,910.0,32.0,271.0,30.0,256.0,121.0,1.0,4.6,.6,2005.0
70.0,Kavalur,.0,7.7,70.8,18.1,169.6,2310.0,103.8,271.0,4.0,402.5,451.5,1.0,4.6,.0,2005.0
71.0,Kavalur,17.1,7.9,16.0,4.0,35.0,650.0,72.0,50.0,.0,260.0,64.0,1.5,1.4,-.7,2005.0
72.0,Thoplagunta-EW,34.1,7.7,70.8,2.0,169.6,856.0,44.0,81.0,4.0,397.0,46.0,1.0,2.2,1.5,2005.0
73.0,Thoplagunta-EW,34.1,7.8,70.8,2.0,169.6,873.0,44.0,85.0,4.0,403.0,39.0,1.0,2.3,1.6,2005.0
74.0,Thoplagunta-EW,6.2,7.9,70.8,2.0,169.6,874.0,90.0,85.0,4.0,403.0,46.0,1.0,2.3,1.6,2005.0
75.0,Thoplagunta-EW,31.7,8.0,70.8,2.0,169.6,879.0,44.0,90.0,4.0,403.0,43.0,1.0,2.5,1.8,2005.0
76.0,Thoplagunta-OWI,35.3,8.9,70.8,2.0,169.6,801.0,12.0,104.0,4.0,330.0,53.0,1.0,3.4,1.9,2005.0
77.0,Thoplagunta-OWI,27.0,8.7,70.8,8.0,169.6,799.0,20.0,104.0,15.0,305.0,53.0,1.0,3.6,2.3,2005.0
78.0,Thoplagunta-OWI,33.0,8.8,70.8,8.0,169.6,822.0,18.0,101.0,18.0,317.0,53.0,1.0,3.3,2.2,2005.0
79.0,Alangayam,300.0,7.4,268.0,4.0,197.0,4270.0,204.0,285.0,.0,466.0,1113.0,.8,3.0,-27.2,2005.0
80.0,Vellakuttai-EW,26.0,8.7,70.8,18.1,169.6,1160.0,20.0,271.0,96.0,348.0,74.0,1.0,4.6,5.8,2005.0
81.0,Sangilikuppam,40.0,7.7,95.0,2.0,25.0,1195.0,106.0,75.0,.0,417.0,110.0,.9,1.6,-1.8,2005.0
82.0,Guttakandur-EW,31.6,8.1,70.8,4.0,169.6,822.0,28.0,94.0,.0,317.0,96.0,1.0,2.9,1.2,2005.0
83.0,Guttakandur-EW,35.3,7.9,70.8,4.0,169.6,1027.0,50.0,108.0,.0,433.0,57.0,1.0,2.9,1.7,2005.0
84.0,Guttakandur-EW,34.1,8.4,70.8,4.0,169.6,808.0,26.0,87.0,6.0,311.0,53.0,1.0,2.6,1.2,2005.0
85.0,Guttakandur-EW,25.6,8.1,70.8,18.1,169.6,720.0,36.0,271.0,.0,299.0,57.0,1.0,4.6,1.0,2005.0
86.0,Guttakandur-OW,25.6,8.8,70.8,18.1,169.6,580.0,18.0,271.0,36.0,159.0,50.0,1.0,4.6,.8,2005.0
87.0,Guttakandur-OW,35.3,8.3,70.8,4.0,169.6,837.0,22.0,97.0,.0,330.0,53.0,1.0,3.0,1.4,2005.0
88.0,Guttakandur-OW,30.4,8.7,70.8,4.0,169.6,778.0,22.0,94.0,.0,287.0,57.0,1.0,3.1,1.1,2005.0
89.0,Guttakandur-OW,31.7,8.2,70.8,4.0,169.6,868.0,34.0,97.0,.0,354.0,92.0,1.0,2.9,1.5,2005.0
90.0,Odugathur-EW,103.0,7.2,44.0,18.1,169.6,2340.0,198.0,271.0,4.0,488.0,415.0,1.0,4.6,-10.4,2005.0
91.0,Odugathur-EW,113.0,7.2,37.0,18.1,169.6,2210.0,160.0,271.0,4.0,458.0,390.0,1.0,4.6,-9.8,2005.0
92.0,Odugathur-EW,94.0,7.2,32.0,18.1,169.6,2150.0,168.0,271.0,4.0,433.0,362.0,1.0,4.6,-9.0,2005.0
93.0,Odugathur-EW,123.0,7.3,53.0,18.1,169.6,2570.0,214.0,271.0,4.0,531.0,468.0,1.0,4.6,-12.1,2005.0
94.0,Timiri1,17.2,7.8,14.8,1.0,40.0,1700.0,160.0,130.0,.0,305.0,319.0,.3,2.6,-4.4,2005.0
95.0,Pachchaikuppam-EW,13.4,8.9,70.8,18.1,169.6,980.0,22.0,271.0,72.0,268.0,96.0,1.0,4.6,4.6,2005.0
96.0,Appukkal-EW,65.8,8.0,70.8,18.1,169.6,1740.0,94.0,271.0,.0,207.0,53.0,1.0,4.6,-6.7,2005.0
97.0,Appukkal-OW,68.2,7.9,70.8,18.1,169.6,1755.0,94.0,271.0,.0,226.0,53.0,1.0,4.6,-6.6,2005.0
98.0,Anaikkattu,61.9,7.6,180.0,2.0,142.0,1990.0,179.0,166.0,.0,339.0,337.0,.7,2.7,-8.5,2005.0
99.0,Arcot2,86.5,7.7,70.8,18.1,169.6,5200.0,103.8,271.0,4.0,402.5,1440.0,1.0,4.6,-5.7,2005.0
100.0,P.Agaram,79.0,8.0,36.0,24.0,8.0,1540.0,72.0,100.0,.0,691.0,142.0,1.0,1.9,1.2,2005.0
